date,Gaia ID,TIC ID,flare TIC ID,complex?,simbad,cds,spec,lamost,Halpha,L_alpha_bol,simbad name,ra,dec,Aizawa,Kashiyama,note,flaring star,TIC ID,Tmag,TESS lc data,Prot,TESS lc Prot,TESS FFT data,TESS FFT Prot,tau,,lamost,Halpha,L_halpha_bol,stellar activity,ASASSN,ZTF,ZTF period,spectrum/CDS,aperture,start,tpeak,rise (s),amp (%),t_1_2 (s),complex?,data_place,analyzed_place,Gaia mag,,,flare shape,rad,e_rad,mass,e_mass,Teff,e_Teff,lum,e_lum,dist,e_dist,stellar_type,plot_flux_type,tplotmin,tplotMax,Note
20191130,51856511715955968,15904458,,1,,,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=249315109,Yes,3.07E-04,,62.297329,20.278861,1,1,,51856511715955968,15904458,13.4984,0,1.03,-1,,-1,66.27450325,,http://dr7.lamost.org/v2.0/spectrum/view?obsid=249315109,Yes,3.07E-04,Yes,,,,,,588817.61,58817.60977,30,100,14,,yajiri2:/alps2/,yajiri2:/blacksmith/product,14.9038,,,complex?,0.378417,0.0114195,0.366927,0.0203511,3125,157,0.01230371,0.003234881,75.1663,0.5687,,flux_catalog_aperture_r7,-300,800,立ち上がり30s、15sくらいで半分になって、もう一回フレア、そしてのっぺり光り続ける
20191129,49407521363733632,17198188,,0,,,None,,-,,,64.689818,21.031754,1,1,,49407521363733632,17198188,15.246,1,0.3906,0.386,43,-1,145.1685848,0.002658977496,,,,Yes,,,,,,58816.614,58816.61473,15,50,50,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.856701,,,classical,0.141436,0.00424223,0.114809,0.0200246,2857,157,0.00120075827,0.000338311918,42.7381,0.2221,,flux_catalog_aperture_r5,-300,500,
20191203,3410076150374417408,18376490,,0,,,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=176107072,Yes,2.95E-04,,71.027898,19.035497,1,1,,3410076150374417408,18376490,14.1458,1,0.378,0.3744,43,-1,117.1150988,0.003196855092,http://dr7.lamost.org/v2.0/spectrum/view?obsid=176107072,Yes,2.95E-04,Yes,,,,,,58820.619,58820.61997,70,30,110,,yajiri2:/alps2/,yajiri2:/blacksmith/product,15.5747,,,classical,0.212034,0.0063904,0.181031,0.0200841,3085,157,0.00366882,0.000974044029,49.2488,0.2355,,flux_catalog_aperture_r7,-300,600,
20200130,603299423116967424,20536892,,1,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=GALEX%206377811924629849638,http://cdsportal.u-strasbg.fr/?target=TIC20536892,M5V,,Yes,1.18E-04,GALEX 6377811924629849638,128.342275,13.359677,1,1,,603299423116967424,20536892,15.4739,0,2.10,-1,,-1,63.05546276,,,Yes,1.18E-04,Yes,https://asas-sn.osu.edu/sky-patrol/coordinate/3092ec1a-6ea5-4969-8bc8-a52d50766fdd,,,,,58878.654,58878.65449,25,330,100,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.841717,,,complex?,0.393383,0.0148168,0.383991,0.0227209,3170,157,0.0140787121,0.00387606933,198.938,5.8505,,flux_catalog_aperture_r7,-300,600,
20200124,603188200643885696,21286088,,0,None,,None,,-,,,129.814175,13.5417028,1,1,,603188196348148352,21286088,17.1262,0,,-1,,-1,118.0568456,,,,,,,,,,,58872.58,58872.58145,40,5000,60,,yajiri2:/alps2/,yajiri:2/blacksmith/product,18.628769,,,classical,0.209554,0.013405,0.178526,0.0233486,3133,164,0.00381178339,0.00129928289,180.816,11.061,,flux_catalog_aperture_r14,-500,600,
20200201,657563345604584064,21286574,,0.5,,,dM4,http://dr7.lamost.org/v2.0/spectrum/view?obsid=741108232,Yes,3.77E-04,,129.807128,14.912196,1,1,no data points for the flare peak,657563345604584064,21286574,11.9468,0,0.2604,-1,,-1,66.06729524,,http://dr7.lamost.org/v2.0/spectrum/view?obsid=741108232,Yes,3.77E-04,Yes,,,,,,58880.7187,58880.71924,24,30,30,,yajiri2:/alps2/,yajiri2:/blacksmith/product,13.1928,,,classical,0.379351,0.011248,0.367996,0.0202061,3369,157,0.01670249,0.00412633,41.9186,0.0916,,flux_catalog_aperture_r14,-300,600,
20200201,604942879467202816,46305452,,0,,,dM6,http://dr7.lamost.org/v2.0/spectrum/view?obsid=420808091,Yes,1.81E-04,,133.041867,11.924721,1,1,with nearby/star,604942879467202816,46305452,14.8103,0,0.439,-1,,-1,73.4691022,,http://dr7.lamost.org/v2.0/spectrum/view?obsid=420808091,Yes,1.81E-04,Yes,,,,,,58800.627,58880.62808,100,12,100,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.1054,,,classical,0.348133,0.0111159,0.33205,0.0207326,3317,157,0.0132180378,0.00336615974,135.141,1.654,,flux_catalog_aperture_r7,-300,500,実は後半にももう一個フレア映ってる？
20200201,631840133632923520,55288759,,0,,,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=200806110,Yes,1.86E-04,,140.209644,17.182307,1,0,,631840133632923520,55288759,11.6551,0,,-1,,-1,75.00348486,,http://dr7.lamost.org/v2.0/spectrum/view?obsid=200806110,Yes,1.86E-04,Yes,,,,,,58880.535,58880.53534,10,15,12,,yajiri2:/alps2/,yajiri2:/blacksmith/product,12.911,,,complex?,0.342142,0.0102583,0.325125,0.0202478,3350,157,0.0132827107,0.00330472528,31.6011,0.0831,,flux_catalog_aperture_r14,-100,300,
20200325,3579780822318767488,98751507,,0,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LP%20%20675-62,,None,,-,,LP 675-62,187.210971,-8.573418,1,1,,3579780822318767488,98751507,13.1844,0,,-1,,-1,94.75287624,,,,,,https://asas-sn.osu.edu/photometry/c9175044-83bd-54ce-82a5-464ea9236643,,,None,,58933.5885,58933.58841,8,20,15,,naginata:/alps/,naginata:/alps2/heso/blacksmith/product/,14.7371,,,classical,0.274981,0.01043,0.248352,0.0213757,3166,157,0.00684453128,0.00188985,71.49101,nan,,flux_catalog_aperture_r14,-400,500,
20191224,3424781736143842432,119031076,,0,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=2MASS%20J05553142%2B2309579,http://cdsportal.u-strasbg.fr/?target=TIC%20119031076,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=116205047,Yes,1.67E-04,2MASS J05553142+2309579,88.880925,23.166102,1,1,,3424781736143842432,119031076,12.2901,1,1.57,1.544,43,-1,94.84220037,0.01627967291,http://dr7.lamost.org/v2.0/spectrum/view?obsid=116205047,Yes,1.67E-04,Yes,,,,,,58841.632,58841.63189,14,15,17,,yajiri2:/alps2/,yajiri2:/blacksmith/product,13.62,,,classical,0.274708,0.00820327,0.248048,0.0201325,3215,157,0.007263756,0.00186354,30.575,0.06135,,flux_catalog_aperture_r7,-300,500,
